total_cells,ff_cells,logic_cells,mux_cells,buf_cells,wires,wire_bits,memory_bits,register_bits,clock_domains,approx_cc,nesting_depth,port_count,always_blocks,area_um2,power_uw,delay_ps,source
665,0,453,110,102,644,752,0,0,0,1,0,7,0,3608.93,160.158,1039,assert_llm_amber23_a23_alu.v
449,171,271,0,7,300,578,0,171,1,18,2,16,3,4962.71,224.2528,846,assert_llm_amber23_a23_coprocessor.v
789,74,650,12,53,664,1073,0,0,0,1,0,0,0,4900.93,217.3608,1068,assert_llm_amber23_a23_multiply.v
224,111,56,32,25,132,337,0,0,0,1,0,0,0,3232.92,146.4028,677,assert_llm_amber23_a23_wishbone.v
665,0,453,110,102,644,752,0,0,0,1,0,7,0,3608.93,160.158,1039,assert_llm_amber25_a25_alu.v
449,171,271,0,7,300,578,0,171,1,18,2,16,3,4962.71,224.2528,846,assert_llm_amber25_a25_coprocessor.v
789,74,650,12,53,664,1073,0,0,0,1,0,0,0,4900.93,217.3608,1068,assert_llm_amber25_a25_multiply.v
764,361,19,357,27,238,1202,0,185,1,12,3,16,6,12815.93,527.1908,929,assert_llm_amber25_a25_wishbone_buf.v
44,44,0,0,0,13,167,0,76,1,3,1,10,2,199.64,10.8768,98,assert_llm_amber25_a25_write_back.v
9,0,5,2,2,18,24,0,0,0,1,0,3,0,37.01,2.1048,327,assert_llm_ecg_f3.v
18,4,9,2,3,22,25,0,4,1,6,4,7,1,73.45,4.2796,324,assert_llm_hpdmc_hpdmc_banktimer.v
3,1,2,0,0,13,60,0,1,1,4,2,11,1,12.53,0.6816,87,assert_llm_hpdmc_hpdmc_busif.v
164,80,77,0,7,115,224,0,88,1,14,3,28,3,1278.86,63.3408,722,assert_llm_hpdmc_hpdmc_ctlif.v
441,84,295,22,40,364,550,0,67,1,45,5,22,8,3630.27,164.7152,1048,assert_llm_hpdmc_hpdmc_mgmt.v
151,54,70,12,15,130,269,0,118,4,34,3,12,8,1590.35,74.3072,696,assert_llm_lib_async_fifo.v
51652,16512,35002,128,10,35274,68061,0,16,1,2,1,6,1,750941.65,26179.7944,2052,assert_llm_lib_generic_sram_byte_en.v
51429,16512,34907,0,10,34923,51566,0,16,1,3,1,5,1,739610.28,26124.9588,1918,assert_llm_lib_generic_sram_line_en.v
90,38,17,24,11,58,106,0,26,2,11,2,8,7,1068.26,51.788,555,assert_llm_lib_sync_fifo.v
4173,14,4109,1,49,3649,9246,0,0,0,1,0,0,0,20361.75,869.0056,1430,assert_llm_minisoc_minsoc_tc_top.v
1,0,1,0,0,3,3,0,0,0,1,0,3,0,3.35,0.2172,68,assert_llm_openMSP430_omsp_and_gate.v
